nama_tempat,alamat,jenis_bisnis,rating,jumlah_bintang,jumlah_review,jam_operasional,harga,latitude,longitude,telepon,no,kecamatan,kelurahan
Bakmi Jowo Pak Waris 2,"XFC9+W3W, Jl. Ketileng Raya, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran Mie,4.3,5,14.0,Rabu 16.00–00.00  | Kamis 16.00–00.00  | Jumat 16.00–00.00  | Sabtu 16.00–00.00  | Minggu 16.00–00.00  | Senin 16.00–00.00  | Selasa 16.00–00.00,Rp 1–25.000,-7.027648,110.467695,0858-7550-5366,62,Tembalang,Sendangmulyo
Nasi Goreng & Bakmi Jawa (Graha Metro),"Graha Metro No.12B Blk B, Meteseh, Kec. Tembalang, Kota Semarang, Jawa Tengah 50271",Restoran,4.0,5,24.0,Rabu 15.00–00.00  | Kamis 15.00–00.00  | Jumat 15.00–00.00  | Sabtu 15.00–00.00  | Minggu 15.00–00.00  | Senin 15.00–00.00  | Selasa 15.00–00.00,Rp 1–25.000,-7.0594698,110.4768222,0856-4334-8465,63,Tembalang,Meteseh
Bakmi Jowo Solo,"Jl. Tulus Harapan No.4 Blk C, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran Mie,5.0,5,1.0,Rabu 17.00–00.00  | Kamis 17.00–00.00  | Jumat 17.00–00.00  | Sabtu 17.00–00.00  | Minggu 17.00–00.00  | Senin 17.00–00.00  | Selasa 17.00–00.00,,-7.0354066,110.4690581,0856-2751-314,64,Tembalang,Sendangmulyo
Bakmi Jowo Sederhana,"Jl. Tegal Kangkung 14 No.224, Kedungmundu, Kec. Tembalang, Kota Semarang, Jawa Tengah 50273",Restoran Mie,4.3,5,4.0,Rabu 18.00–00.00  | Kamis 18.00–00.00  | Jumat 18.00–00.00  | Sabtu 18.00–00.00  | Minggu 18.00–00.00  | Senin 18.00–00.00  | Selasa 18.00–00.00,,-7.0232436,110.4689316,,66,Tembalang,Kedungmundu
Bakmi Jowo Pak Harno,"WFQ7+R2R, Meteseh, Kec. Tembalang, Kota Semarang, Jawa Tengah 50271",Restoran Mie,4.2,5,5.0,Rabu 17.00–02.00  | Kamis 17.00–02.00  | Jumat 17.00–02.00  | Sabtu 17.00–02.00  | Minggu 17.00–02.00  | Senin 17.00–02.00  | Selasa 17.00–02.00,Rp 1–25.000,-7.0603807,110.4625198,,67,Tembalang,Meteseh
Bakmi surabaya mas gondrong,"Klipang blok R 7 No.7, RT.05/RW.06, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Warung nasi,4.5,5,8.0,Rabu 17.00–00.00  | Kamis 17.00–00.00  | Jumat 17.00–00.00  | Sabtu 17.00–00.00  | Minggu 17.00–00.00  | Senin 17.00–00.00  | Selasa 17.00–00.00,,-7.0457934,110.480462,0813-2622-3276,68,Tembalang,Sendangmulyo
"Bakmi Suroboyo,cak Kumis_Gg.Nirwanasari 1/24,Tembalang,kota Semarang,Jawa Tengah 50275","WCQQ+M8C, Gg. Nirwana Sari I, Tembalang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275",Restoran,3.4,5,,Rabu 03.20–12.15  | Kamis 03.20–12.15  | Jumat 03.20–12.15  | Sabtu 03.20–12.15  | Minggu 03.20–12.15  | Senin 03.20–12.15  | Selasa 03.20–12.15,,-7.0608144,110.4382649,0857-2717-0046,69,Tembalang,Tembalang
Bakmi Jowo mas Karyo,"XF99+X3F, Jl. Wanamukti, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran Mie,4.6,5,5.0,Rabu 11.00–21.00  | Kamis 11.00–21.00  | Jumat 11.00–21.00  | Sabtu 11.00–21.00  | Minggu 11.00–21.00  | Senin 11.00–21.00  | Selasa 11.00–21.00,Rp 1–25.000,-7.0300511,110.4676651,,70,Tembalang,Sendangmulyo
Bakmi Jowo Pak No,"XFG6+25P, Sambiroto, Kec. Tembalang, Kota Semarang, Jawa Tengah 50276",Restoran Mie,3.8,5,4.0,Rabu 04.00–01.00  | Kamis 04.00–01.00  | Jumat 04.00–01.00  | Sabtu 04.00–01.00  | Minggu 04.00–01.00  | Senin 04.00–01.00  | Selasa 04.00–01.00,,-7.0249203,110.4604521,0857-9916-0449,72,Tembalang,Sambiroto
Bakmi Jowo Pak triss,"XFQ3+RXP, Sendangguwo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50273",Restoran Keluarga,5.0,5,2.0,Rabu 17.30–00.00  | Kamis 17.30–00.00  | Jumat 17.30–00.00  | Sabtu 17.30–00.00  | Minggu 17.30–00.00  | Senin 17.30–00.00  | Selasa 17.30–00.00,,-7.0103726,110.4549305,0812-2518-0163,74,Tembalang,Sendangguwo
Warung TUMAN - Nasi Goreng & Bakmi Tuman,"Meteseh, Kec. Tembalang, Kota Semarang, Jawa Tengah 50271",Restoran Nasi Goreng,5.0,5,12.0,Rabu 17.00–22.00  | Kamis 17.00–22.00  | Jumat 17.00–22.00  | Sabtu 17.00–22.00  | Minggu 17.00–22.00  | Senin 17.00–22.00  | Selasa 17.00–22.00,,-7.0532611,110.4776654,,76,Tembalang,Meteseh
Bakmi Jowo Pak Sis - Meteseh,"Jl. Bukit Klp. Gading I No.32, Meteseh, Kec. Tembalang, Kota Semarang, Jawa Tengah 50271",Restoran Mie,5.0,5,1.0,Rabu 17.00–00.00  | Kamis 17.00–00.00  | Jumat 17.00–00.00  | Sabtu 17.00–00.00  | Minggu 17.00–00.00  | Senin 17.00–00.00  | Selasa 17.00–00.00,,-7.0657509,110.4598198,0822-2096-6500,77,Tembalang,Meteseh
Pondok Bakmi Jowo Siper,"Jl. kd.mundu No.12, Kedungmundu, Kec. Tembalang, Kota Semarang, Jawa Tengah 50276",Restoran,4.7,5,3.0,Rabu 17.00–00.00  | Kamis 17.00–00.00  | Jumat 17.00–00.00  | Sabtu 17.00–00.00  | Minggu 17.00–00.00  | Senin 17.00–00.00  | Selasa 17.00–00.00,,-7.0222396,110.4575887,0896-3533-3539,78,Tembalang,Kedungmundu
"Bakmi Jowo ""RiLEX"" Nasi Goreng","Jalan Kedung Mundu Raya No.23B, Sambiroto, Tembalang, Kedungmundu, Kec. Tembalang, Kota Semarang, Jawa Tengah 50274",Restoran Nasi Goreng,4.4,5,21.0,Rabu 19.00–21.00  | Kamis 19.00–21.00  | Jumat 19.00–21.00  | Sabtu 19.00–21.00  | Minggu 19.00–21.00  | Senin 19.00–21.00  | Selasa 19.00–21.00,,-7.0185164,110.4557624,,79,Tembalang,Kedungmundu
Pondok Bakmi Surabaya Cakdul Meteseh,"WFQ6+JWG, WFV7+46GJl. Bukit Kencana, JayaMeteseh, Kec. Tembalang, Kota Semarang, Jawa Tengah 50277",Restoran Indonesia,5.0,5,2.0,Tidak ada info jam buka,,-7.0609342,110.462336,,81,Tembalang,JayaMeteseh
Bakmi dan Nasi Goreng Pak Har,"WCMP+5WR, Jl. Mulawarman Raya, Kramas, Kec. Tembalang, Kota Semarang, Jawa Tengah 50278",Restoran,5.0,5,2.0,Rabu 18.00–23.00  | Kamis 18.00–23.00  | Jumat 18.00–23.00  | Sabtu 18.00–23.00  | Minggu 18.00–23.00  | Senin 18.00–23.00  | Selasa 18.00–23.00,,-7.0670027,110.4372537,,82,Tembalang,Kramas
Warung Bakmi Dan Nasi Goreng Mas MR,"WCPV+66W, Jl. Gondang Timur IV, Bulusan, Kec. Tembalang, Kota Semarang, Jawa Tengah 50277",Restoran cepat saji,4.8,5,5.0,Tidak ada info jam buka,Rp 1–25.000,-7.0643802,110.4430825,0857-2870-8081,87,Tembalang,Bulusan
BAKMI DD,"Jl. Gondang Raya No.16, RT.3/RW.1, Bulusan, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275",Rumah Makan,5.0,5,8.0,Rabu 10.00–23.00  | Kamis 10.00–23.00  | Jumat 10.00–23.00  | Sabtu 10.00–23.00  | Minggu 10.00–23.00  | Senin 10.00–23.00  | Selasa 10.00–23.00,,-7.0617403,110.441422,0857-1260-0393,88,Tembalang,Bulusan
Bakmi jowo seger,"XFP2+M5R, Jl. Kedungmundu, Kedungmundu, Kec. Tembalang, Kota Semarang, Jawa Tengah 50273",Disimpan,5.0,5,1.0,Rabu 17.00–01.00  | Kamis 17.00–01.00  | Jumat 17.00–01.00  | Sabtu 17.00–01.00  | Minggu 17.00–01.00  | Senin 17.00–01.00  | Selasa 17.00–01.00,,-7.0132647,110.4503938,,90,Tembalang,Kedungmundu
Nasi Goreng dan Bakmi Jowo Doa Ibu,"Jl. Sambiroto Raya No.82-80, Sambiroto, Kec. Tembalang, Kota Semarang, Jawa Tengah 50276",Restoran Nasi Goreng,4.7,5,6.0,Rabu 17.00–02.00  | Kamis 17.00–02.00  | Jumat 17.00–02.00  | Sabtu 17.00–02.00  | Minggu 17.00–02.00  | Senin 17.00–02.00  | Selasa 17.00–02.00,,-7.0272921,110.4592809,0823-3783-7795,93,Tembalang,Sambiroto
Warung Bakmi Jowo Mas Tri,"Jl. Gondang Raya No.5, Bulusan, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275",Restoran Indonesia,5.0,5,2.0,Tutup permanen,,-7.0611076,110.4418391,,96,Tembalang,Bulusan
