nama_tempat,alamat,jenis_bisnis,rating,jumlah_bintang,jumlah_review,jam_operasional,harga,latitude,longitude,telepon,website,kategori
Mie Ayam Sakti,"Jl. Tunjungsari No.2, Tembalang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275",Restoran Mie,4.7,5,24.0,Rabu 11.00–21.00  | Kamis 11.00–21.00  | Jumat 11.00–21.00  | Sabtu 11.00–21.00  | Minggu 11.00–21.00  | Senin 11.00–21.00  | Selasa 11.00–21.00 ,Rp 1–25.000,-7.0576477,110.4383251,0878-4172-3113,,bakmi
Mie Bandung Gg. Belakang Pak Min,"Kedungmu, Jl. Kedungmundu, Tandang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50273",Restoran Mie,4.5,5,347.0,Rabu 10.00–20.00  | Kamis 10.00–20.00  | Jumat 10.00–20.00  | Sabtu 10.00–20.00  | Minggu 10.00–20.00  | Senin 10.00–20.00  | Selasa 10.00–20.00 ,Rp 1–25.000,-7.0190464,110.4558062,0877-0009-5450,,bakmi
Bakmi jowo Petruk,"Jl. Fatmawati No.175, Kedungmundu, Kec. Tembalang, Kota Semarang, Jawa Tengah 50273",Restoran Mie,4.3,5,11.0,Rabu Buka 24 jam  | Kamis Buka 24 jam  | Jumat Buka 24 jam  | Sabtu Buka 24 jam  | Minggu Buka 24 jam  | Senin Buka 24 jam  | Selasa Buka 24 jam ,Rp 1–25.000,-7.023638,110.4683441,0889-3316-417,,bakmi
Bakmi jowo dan nasi goreng bintang lima,"Depas puskesmas Jl. Kompol R Soekanto, Mangunharjo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran Nasi Goreng,5.0,5,16.0,Rabu 17.00–00.00  | Kamis 17.00–00.00  | Jumat 17.00–00.00  | Sabtu 17.00–00.00  | Minggu 17.00–00.00  | Senin 17.00–00.00  | Selasa 17.00–00.00 ,Rp 1–25.000,-7.0447647,110.460857,0813-2900-2728,,bakmi
Bakmi Jowo Bu Hadi,"Jalan Prof. Suharso ,Meteseh, Tembalang, Meteseh, Kec. Tembalang, Kota Semarang, Jawa Tengah 50271",Restoran Mie,4.0,5,28.0,Rabu 16.30–00.00  | Kamis 16.30–00.00  | Jumat 16.30–00.00  | Sabtu 16.30–00.00  | Minggu 16.30–00.00  | Senin 16.30–00.00  | Selasa 16.30–00.00 ,Rp 1–25.000,-7.0567136,110.4647068,0812-4248-4643,,bakmi
Mie Ayam Pak Jumali,"XF37+3FC, Jl. Durenan Indah, Mangunharjo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran Mie,5.0,5,18.0,Rabu 17.00–23.00  | Kamis 17.00–23.00  | Jumat 17.00–23.00  | Sabtu 17.00–23.00  | Minggu 17.00–23.00  | Senin 17.00–23.00  | Selasa 17.00–23.00 ,Rp 1–25.000,-7.0473142,110.4636374,0813-3987-0532,,bakmi
Mie Ayam Pangsit Babaliyut,"Jl. Gondang Raya No.28, Bulusan, Kec. Tembalang, Kota Semarang, Jawa Tengah 50277",Lihat foto,5.0,5,184.0,,Rp 1–25.000,-7.0622009,110.4411602,0857-2715-1533,,bakmi
Bakmi Jowo Nasi Goreng KADONG TRESNO,"Jl. Sambiroto Raya No.45A, Sambiroto, Kec. Tembalang, Kota Semarang, Jawa Tengah 50276",Restoran Mie,3.1,5,64.0,Rabu 17.00–01.00  | Kamis 17.00–01.00  | Jumat 17.00–01.00  | Sabtu 17.00–01.00  | Minggu 17.00–01.00  | Senin 17.00–01.00  | Selasa 17.00–01.00 ,Rp 1–25.000,-7.0299685,110.4589556,0821-3525-5678,,bakmi
Bakmi Jowo Risqi,"Jl. Bougenville Dalam No.Raya, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran Mie,4.7,5,7.0,Rabu 17.00–00.00  | Kamis 17.00–00.00  | Jumat 17.00–00.00  | Sabtu 17.00–00.00  | Minggu 17.00–00.00  | Senin 17.00–00.00  | Selasa 17.00–00.00 ,,-7.0448404,110.4744183,0898-3327-48701,,bakmi
Bakmi Jowo Mas Nang,"perum klipang Blk. P XIV, Sendangmulyo, Tembalang, Semarang City, Central Java 50272",Restoran Mie,4.7,5,6.0,Rabu 17.00–00.00  | Kamis 17.00–00.00  | Jumat 17.00–00.00  | Sabtu 17.00–00.00  | Minggu 17.00–00.00  | Senin 17.00–00.00  | Selasa 17.00–00.00 ,Rp 1–25.000,-7.0449503,110.479215,,,bakmi
